keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source
aüg,informational,cluster_06,head,Kürzel,5006,32,1.5,people-also-ask|video,156.4,estimated
digitalisierung zeitarbeit,informational,cluster_07,head,Trend,5645,40,2.1,featured-snippet|video,141.1,estimated
fachkräftemangel deutschland,informational,cluster_10,head,Branchenproblem,3916,29,0.31,featured-snippet|people-also-ask|video,135.0,estimated
digitalisierung personaldienstleistung,informational,cluster_07,head,Trend,4088,32,2.34,people-also-ask,127.8,estimated
künstliche intelligenz personaldienstleistung,informational,cluster_12,head,Trend,4035,39,1.89,featured-snippet|video,103.5,estimated
dokumentenmanagement software,commercial,cluster_07,head,Kategorie,5975,59,9.45,ads,101.3,estimated
ki recruiting,informational,cluster_12,head,Trend,3354,36,2.43,people-also-ask,93.2,estimated
debitorenmanagement,informational,cluster_05,head,Aufgabe,4929,54,0.77,video,91.3,estimated
equal pay zeitarbeit,informational,cluster_06,head,Begriff,3331,37,1.16,video,90.0,estimated
höchstüberlassungsdauer,informational,cluster_06,head,Begriff,3959,51,1.87,people-also-ask,77.6,estimated
zeitarbeitssoftware,commercial,cluster_01,head,Schreibvariante zusammen,4381,57,9.99,ads,76.9,estimated
mitarbeiterverwaltung software,commercial,cluster_09,head,Tool,4809,63,11.52,ads|shopping|site-links,76.3,estimated
zvoove referenzen,commercial,cluster_11,head,Brand-Trust,70,61,11.42,ads|site-links,1.1,estimated
personaleinsatzplanung,informational,cluster_04,head,Generisch,4799,64,1.15,featured-snippet|video,75.0,estimated
arbeitnehmerüberlassungsgesetz,informational,cluster_06,head,Gesetz,2910,40,2.23,featured-snippet|people-also-ask,72.8,estimated
bewerber finden,informational,cluster_03,head,Generisch,2768,39,1.54,featured-snippet,71.0,estimated
hr software kmu,commercial,cluster_09,head,Generisch,4028,58,5.66,ads,69.4,estimated
bewerbermanagement software,commercial,cluster_03,head,Hauptbegriff,5670,84,10.51,shopping,67.5,estimated
gebäudereinigung software,commercial,cluster_08,head,Branchenfokus,5051,78,8.43,shopping|site-links,64.8,estimated
zeiterfassung software,commercial,cluster_04,head,Hauptbegriff,4892,76,8.87,ads|site-links,64.4,estimated
