keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,keyword_clean,orig_cluster_name,hdb,hier10,hier12,hdb_label,hdb_label_de,sub_cluster,sub_x,sub_y
debitorenmanagement,informational,cluster_05,head,Aufgabe,4929,54,0.77,video,91.3,estimated,debitorenmanagement,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.139881,-7.837932
equal pay zeitarbeit,informational,cluster_06,head,Begriff,3331,37,1.16,video,90.0,estimated,equal pay zeitarbeit,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,4.207631,-6.914262
höchstüberlassungsdauer,informational,cluster_06,head,Begriff,3959,51,1.87,people-also-ask,77.6,estimated,höchstüberlassungsdauer,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,0.6570321,-7.0026793
arbeitnehmerüberlassungsgesetz,informational,cluster_06,head,Gesetz,2910,40,2.23,featured-snippet|people-also-ask,72.8,estimated,arbeitnehmerüberlassungsgesetz,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.993103,-8.370306
arbeitnehmerüberlassung,informational,cluster_06,head,Begriff,4131,66,2.24,people-also-ask,62.6,estimated,arbeitnehmerüberlassung,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.050508,-8.460512
zeitarbeit programm,commercial,cluster_01,head,Synonym,3980,79,6.78,shopping|site-links,50.4,estimated,zeitarbeit programm,Zeitarbeitssoftware & zvoove One,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.053120233,-9.729824
zeitarbeit branche entwicklung,informational,cluster_10,head,Marktanalyse,2456,56,0.68,people-also-ask|video,43.9,estimated,zeitarbeit branche entwicklung,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.1156963,-9.551444
igz tarifvertrag aktuell,informational,cluster_10,body,Tarif,700,17,1.76,people-also-ask,41.2,estimated,igz tarifvertrag aktuell,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,2.3080194,-6.6705427
zahlungsausfall absichern,informational,cluster_05,body,Risiko,769,20,2.27,people-also-ask,38.5,estimated,zahlungsausfall absichern,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.1742113,-7.456568
factoring zeitarbeit,commercial,cluster_05,head,Hauptbegriff,2219,85,8.96,shopping,26.1,estimated,factoring zeitarbeit,Liquiditaet & Factoring,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.0499638,-8.488338
